2,2008-12-31,15,2008-12-31 23:02:40,2009-01-01 17:20:58
2,2019-05-31,17,2019-05-31 22:28:05,2019-06-01 21:08:05
2,2019-06-01,2700,2019-06-01 00:30:40,2019-06-01 01:02:37
4,2019-06-01,19,2019-06-01 00:59:57,2019-06-01 01:50:02
1,2019-06-01,1438,2019-06-01 00:29:12,2019-06-01 02:20:07
1,2019-06-01,732,2019-06-01 02:03:29,2019-06-01 04:41:56
4,2019-06-01,8,2019-06-01 02:54:48,2019-06-01 04:35:07
2,2019-06-01,1204,2019-06-01 02:00:21,2019-06-01 05:23:01
2,2019-06-01,958,2019-06-01 05:03:31,2019-06-01 07:06:27
1,2019-06-01,461,2019-06-01 05:53:36,2019-06-01 08:18:26
4,2019-06-01,7,2019-06-01 05:52:31,2019-06-01 08:01:42
2,2019-06-01,2335,2019-06-01 08:27:22,2019-06-01 09:59:30
1,2019-06-01,1052,2019-06-01 08:07:07,2019-06-01 10:35:05
4,2019-06-01,7,2019-06-01 08:27:03,2019-06-01 11:06:37
2,2019-06-01,4838,2019-06-01 11:00:43,2019-06-01 11:41:55
1,2019-06-01,2504,2019-06-01 11:50:54,2019-06-01 14:34:42
4,2019-06-01,30,2019-06-01 11:01:27,2019-06-01 13:54:59
2,2019-06-01,6175,2019-06-01 14:00:50,2019-06-01 16:50:40
1,2019-06-01,3566,2019-06-01 14:41:14,2019-06-01 16:57:55
4,2019-06-01,31,2019-06-01 14:54:40,2019-06-01 17:33:11
2,2019-06-01,6909,2019-06-01 17:02:00,2019-06-01 19:20:33
1,2019-06-01,4015,2019-06-01 17:03:45,2019-06-01 20:14:17
4,2019-06-01,42,2019-06-01 17:41:51,2019-06-01 19:34:22
1,2019-06-01,2419,2019-06-01 20:35:58,2019-06-01 22:52:11
4,2019-06-01,28,2019-06-01 20:23:09,2019-06-01 22:52:28
2,2019-06-01,4204,2019-06-01 22:35:43,2019-06-02 21:04:57
2,2019-06-01,4046,2019-06-01 23:00:49,2019-06-02 00:29:15
1,2019-06-01,2077,2019-06-01 23:01:48,2019-06-02 02:08:01
4,2019-06-01,26,2019-06-01 23:33:23,2019-06-02 02:09:18
2,2019-06-02,1376,2019-06-02 02:01:07,2019-06-03 04:36:47
1,2019-06-02,754,2019-06-02 02:41:59,2019-06-02 04:45:37
2,2019-06-02,924,2019-06-02 05:21:26,2019-06-02 07:43:51
1,2019-06-02,447,2019-06-02 05:10:03,2019-06-02 08:18:49
4,2019-06-02,9,2019-06-02 05:14:46,2019-06-02 08:07:14
2,2019-06-02,2223,2019-06-02 08:00:22,2019-06-02 11:15:51
1,2019-06-02,1056,2019-06-02 08:13:37,2019-06-02 11:18:42
4,2019-06-02,13,2019-06-02 08:43:27,2019-06-02 10:52:34
2,2019-06-02,5790,2019-06-02 11:01:03,2019-06-02 12:38:04
1,2019-06-02,2947,2019-06-02 11:42:32,2019-06-02 14:40:02
4,2019-06-02,31,2019-06-02 11:38:15,2019-06-02 14:11:30
2,2019-06-02,7242,2019-06-02 14:01:32,2019-06-02 16:45:15
1,2019-06-02,4013,2019-06-02 14:11:59,2019-06-02 17:37:51
4,2019-06-02,43,2019-06-02 14:39:19,2019-06-02 17:34:38
2,2019-06-02,5748,2019-06-02 18:04:22,2019-06-03 18:58:42
